Date,Category,Sales,Price,Discount,TrendScore,Stock,Rating,MarketingBudget,Month,Quarter,DayOfWeek,Trend
2024-01-14,T-Shirt,86,428,0,3.144125371635815,897,4.8538293600193505,19397,1,1,6,0
2024-01-14,Sweater,344,878,40,9.059709056465804,276,3.5802279451210532,68932,1,1,6,1
2024-01-14,Jacket,371,414,30,9.550557703457244,483,4.223781424463963,65921,1,1,6,1
2024-01-14,Pants,160,293,40,1.8253373253263296,495,3.992996818054874,16130,1,1,6,0
2024-01-15,Dress,102,1324,0,2.021181418157032,792,4.241630457053872,16174,1,1,0,0
2024-01-15,T-Shirt,191,1396,10,4.973774512360393,314,4.318873655247483,94930,1,1,0,0
2024-01-15,Sweater,405,737,0,7.85359568545725,591,4.800303057966262,49261,1,1,0,1
2024-01-15,Jacket,201,1341,10,4.569864417588267,894,4.559363340734745,88460,1,1,0,1
2024-01-15,Pants,78,1338,20,6.231748755041041,464,4.055963220600336,96792,1,1,0,0
2024-01-16,Dress,120,366,40,7.780403667330475,169,4.5622717933748,39578,1,1,1,0
2024-01-16,T-Shirt,157,1355,20,3.2385173898725914,630,3.666796223459227,49482,1,1,1,0
2024-01-16,Sweater,403,1393,10,7.668764748196015,555,3.6762893701656574,47344,1,1,1,1
2024-01-16,Jacket,152,497,0,4.373835215713337,468,3.624336982540031,87848,1,1,1,0
2024-01-16,Pants,166,283,10,1.109390272208347,771,4.334007557963877,25559,1,1,1,0
2024-01-17,Dress,167,1386,20,9.272041437507935,775,4.330781426601981,18843,1,1,2,0
2024-01-17,T-Shirt,195,196,0,2.951281959278421,242,4.181811597151659,73866,1,1,2,0
2024-01-17,Sweater,379,1120,30,9.628321666670615,883,4.8353956758363745,28959,1,1,2,1
2024-01-17,Jacket,273,1295,30,6.821635255018514,747,4.0300283420390794,36921,1,1,2,1
2024-01-17,Pants,77,881,40,9.769553268995498,803,4.179861270243246,43088,1,1,2,0
2024-01-18,Dress,190,1426,10,4.749751519646313,808,4.420122793903685,70545,1,1,3,0
2024-01-18,T-Shirt,105,947,10,5.964290852896631,104,3.539550461745878,66813,1,1,3,0
2024-01-18,Sweater,231,373,0,4.390650729441466,381,4.071336284946533,25309,1,1,3,1
2024-01-18,Jacket,234,838,40,1.571606466310012,204,4.1222292535064975,5384,1,1,3,1
2024-01-18,Pants,198,972,30,8.316109082170698,962,4.624866124204958,85642,1,1,3,0
2024-01-19,Dress,72,1146,40,9.502891568941852,557,4.066775823913679,61397,1,1,4,0
2024-01-19,T-Shirt,159,150,20,3.472586173233179,871,3.8429642082551942,42744,1,1,4,0
2024-01-19,Sweater,214,244,10,5.483486679813036,537,4.658477587603459,99074,1,1,4,1
2024-01-19,Jacket,210,1227,30,6.0484417438184765,833,4.687726759204449,93464,1,1,4,1
2024-01-19,Pants,161,916,40,6.582785962181182,677,4.707567001279043,64494,1,1,4,0
2024-01-20,Dress,87,1479,10,6.729798894600544,434,4.1562123830355935,66886,1,1,5,0
2024-01-20,T-Shirt,101,398,0,8.052877114670288,641,4.43313005034181,48088,1,1,5,0
2024-01-20,Sweater,310,1049,10,9.339288626453449,429,4.653376611973096,60123,1,1,5,1
2024-01-20,Jacket,251,202,10,3.958764492587574,846,4.3694749017076076,50002,1,1,5,1
2024-01-20,Pants,164,260,0,5.141072430852148,947,3.7278540402684417,16637,1,1,5,0
2024-01-21,Dress,193,1049,30,4.111005549914768,294,4.811476407281626,38434,1,1,6,0
2024-01-21,T-Shirt,142,821,10,6.417418559868642,150,3.561302924399718,92044,1,1,6,0
2024-01-21,Sweater,282,683,40,5.938437782866678,744,4.191168152049089,23777,1,1,6,1
2024-01-21,Jacket,228,1251,10,7.213553457664288,172,3.638435879343119,27574,1,1,6,1
2024-01-21,Pants,170,363,20,9.287851604786319,672,3.50389253657547,69291,1,1,6,0
2024-01-22,Dress,50,157,0,6.375502740298875,791,3.8140239850050657,87558,1,1,0,0
2024-01-22,T-Shirt,105,875,10,7.839598680438271,177,4.193802074199722,21748,1,1,0,0
2024-01-22,Sweater,221,1485,20,7.420146272960972,722,4.766661008950443,60658,1,1,0,1
2024-01-22,Jacket,204,888,20,3.1822345327125667,730,4.065926244656934,95825,1,1,0,1
2024-01-22,Pants,88,1446,10,5.818020076139712,636,4.835790921109842,11168,1,1,0,0
2024-01-23,Dress,117,216,0,5.485979790361515,210,4.376299227071254,31069,1,1,1,0
2024-01-23,T-Shirt,83,772,0,6.080126882703771,653,3.9256638586980865,67981,1,1,1,0
2024-01-23,Sweater,238,464,40,3.973136331528226,476,3.8558401876039916,32285,1,1,1,1
2024-01-23,Jacket,239,773,30,8.657357660525317,545,3.9276427530407707,18918,1,1,1,1
2024-01-23,Pants,104,1310,20,5.720602506132292,139,4.545442193549633,14111,1,1,1,0
2024-01-24,Dress,55,1495,30,9.72523389947832,103,3.5079500095964082,5117,1,1,2,0
2024-01-24,T-Shirt,162,653,20,8.387753258380172,293,4.335144339520895,84239,1,1,2,0
2024-01-24,Sweater,225,322,30,2.845698041345132,509,3.9855188546063656,96922,1,1,2,1
2024-01-24,Jacket,281,289,0,6.495580381974693,419,3.630935269384513,6917,1,1,2,1
2024-01-24,Pants,188,994,20,6.344947878021089,789,4.1814019583286495,87180,1,1,2,0
2024-01-25,Dress,187,321,10,3.9011846047725065,741,3.6318021668639853,6342,1,1,3,0
2024-01-25,T-Shirt,150,478,0,2.050264577275132,649,4.117761371220903,98789,1,1,3,0
2024-01-25,Sweater,292,467,30,9.685242195998613,433,4.899407100649932,75792,1,1,3,1
2024-01-25,Jacket,323,662,30,8.576458990824449,939,4.7419113307662375,63596,1,1,3,1
2024-01-25,Pants,63,947,20,2.4783921813789362,104,3.8535376190974997,5077,1,1,3,0
2024-01-26,Dress,111,281,0,8.894804867317974,188,4.524473095125699,64207,1,1,4,0
2024-01-26,T-Shirt,88,765,20,6.616913897636539,964,4.621414070264377,23574,1,1,4,0
2024-01-26,Sweater,390,1156,10,5.891975750025898,715,3.8435380863871944,16302,1,1,4,1
2024-01-26,Jacket,349,540,20,4.014150531913775,547,3.7500961399900747,76324,1,1,4,1
2024-01-26,Pants,82,627,20,8.097374901020777,649,4.628604680058234,49028,1,1,4,0
2024-01-27,Dress,82,1427,30,6.129007163841849,621,4.240972230696294,48872,1,1,5,0
2024-01-27,T-Shirt,167,955,40,1.995685632596865,327,4.185500328922517,69435,1,1,5,0
2024-01-27,Sweater,192,1434,40,3.0632625570937733,943,4.657822970897367,21478,1,1,5,0
2024-01-27,Jacket,378,1465,10,3.266191530162575,168,4.7401982417136175,19153,1,1,5,1
2024-01-27,Pants,153,699,10,9.525550056506338,495,4.867778613264447,78319,1,1,5,0
2024-01-28,Dress,160,977,20,9.38906454235251,455,4.87812578339112,69644,1,1,6,0
2024-01-28,T-Shirt,169,276,10,7.941220016677642,898,4.410072569574284,91066,1,1,6,0
2024-01-28,Sweater,255,1469,0,9.330116616160987,506,3.6842161727686005,27116,1,1,6,1
2024-01-28,Jacket,387,569,0,3.9893177138944504,666,3.841093431315669,68374,1,1,6,1
2024-01-28,Pants,198,1118,40,4.016775174813109,535,4.681684833071738,18224,1,1,6,0
2024-01-29,Dress,84,724,30,5.836560426441306,174,4.884440347697727,13070,1,1,0,0
2024-01-29,T-Shirt,140,789,20,1.295620032190945,862,3.7112855305697,72526,1,1,0,0
2024-01-29,Sweater,269,326,40,6.225295152502391,761,3.8301458211216457,21241,1,1,0,1
2024-01-29,Jacket,268,998,30,5.130900892153117,247,4.121936185590536,26566,1,1,0,1
2024-01-29,Pants,153,710,0,3.789432336417498,314,4.140183358005125,38719,1,1,0,0
2024-01-30,Dress,111,181,40,6.624783883459471,576,4.2081004176649985,98607,1,1,1,0
2024-01-30,T-Shirt,68,167,0,7.9797485502550956,274,4.291471595217178,11645,1,1,1,0
2024-01-30,Sweater,375,1395,20,2.3971622133764123,996,4.001544216965724,17342,1,1,1,1
2024-01-30,Jacket,254,949,10,3.436702058291984,977,4.289867699988941,86974,1,1,1,1
2024-01-30,Pants,81,1351,40,4.671860458283602,412,3.832958242899424,35678,1,1,1,0
2024-01-31,Dress,121,1227,0,8.199244768358703,678,4.831190723770255,90595,1,1,2,0
2024-01-31,T-Shirt,57,245,20,9.663843866993872,599,4.502127704855969,91925,1,1,2,0
2024-01-31,Sweater,251,156,10,1.7695767776902127,250,4.772192143200325,25079,1,1,2,1
2024-01-31,Jacket,292,1458,30,7.335515216246585,996,4.726165342607661,92955,1,1,2,1
2024-01-31,Pants,60,895,10,4.267532909755815,218,3.9020954612343144,19596,1,1,2,0
2024-02-01,Dress,86,1083,0,4.92513876221785,966,4.922679960443235,22771,2,1,3,0
2024-02-01,T-Shirt,73,742,10,6.091989579699044,158,4.841828340341137,91143,2,1,3,0
2024-02-01,Sweater,377,1382,0,5.874707931947802,336,4.103825065395471,28752,2,1,3,1
2024-02-01,Jacket,277,643,30,2.1904859001279737,128,3.757518928772455,79532,2,1,3,1
2024-02-01,Pants,124,987,10,5.76695510789573,141,4.36477471327138,36653,2,1,3,0
2024-02-02,Dress,83,1190,40,6.862783495166778,477,4.580303872448444,53756,2,1,4,0
2024-02-02,T-Shirt,155,491,40,3.373154223711548,386,4.810835116343773,9263,2,1,4,0
2024-02-02,Sweater,258,970,10,9.229707513324637,575,4.656367065596406,41397,2,1,4,1
2024-02-02,Jacket,214,1169,20,2.659338286110669,792,4.404728164199582,83617,2,1,4,1
2024-02-02,Pants,78,298,20,3.598243630936299,611,4.873270515937871,29762,2,1,4,0
2024-02-03,Dress,88,893,20,9.543761173519892,154,4.495506748043972,9853,2,1,5,0
2024-02-03,T-Shirt,199,218,0,3.429201001529754,850,3.893396066449738,72298,2,1,5,1
2024-02-03,Sweater,291,514,20,4.008195017352648,253,4.211355963050554,20048,2,1,5,1
2024-02-03,Jacket,205,1390,40,7.195621567849624,141,4.189522269141697,29354,2,1,5,1
2024-02-03,Pants,180,1402,30,7.252268237689841,577,3.5078807278375774,28051,2,1,5,0
2024-02-04,Dress,68,1217,20,9.255822179160186,116,4.925356030731203,99006,2,1,6,0
2024-02-04,T-Shirt,96,161,20,7.590023977686051,760,4.638553768308275,59756,2,1,6,0
2024-02-04,Sweater,346,859,0,9.130274313724225,367,3.8318141627294033,95600,2,1,6,1
2024-02-04,Jacket,283,196,10,6.294373812729379,500,3.770863017691,61276,2,1,6,1
2024-02-04,Pants,135,399,40,7.579213043124534,982,4.886594293064796,88441,2,1,6,0
2024-02-05,Dress,108,876,40,5.267927949917174,471,4.766824097802606,42265,2,1,0,0
2024-02-05,T-Shirt,152,1446,20,6.046094746031626,912,3.615429802443814,7983,2,1,0,0
2024-02-05,Sweater,295,646,30,8.116508483550671,496,4.438837064655513,99223,2,1,0,1
2024-02-05,Jacket,322,460,20,8.830889865108368,513,3.500356285363827,80532,2,1,0,1
2024-02-05,Pants,190,1447,20,1.6302673517272392,913,4.026067723177565,34629,2,1,0,0
2024-02-06,Dress,111,394,30,6.64754916896533,539,3.907530456603506,15616,2,1,1,0
2024-02-06,T-Shirt,59,1075,0,4.027334174455799,439,4.6063734523833375,37733,2,1,1,0
2024-02-06,Sweater,196,1315,10,3.6667730841039106,392,3.5631397844545427,95816,2,1,1,0
2024-02-06,Jacket,236,966,0,7.116825544237629,239,4.934623546339138,72364,2,1,1,1
2024-02-06,Pants,110,1088,30,4.758226982064356,539,4.826298467197255,34757,2,1,1,0
2024-02-07,Dress,126,375,0,7.690175406042617,871,3.847507552075165,61979,2,1,2,0
2024-02-07,T-Shirt,142,1483,40,8.475782659755621,465,3.846004717576638,66665,2,1,2,0
2024-02-07,Sweater,295,1086,0,9.61543236684993,987,4.025187888750095,55948,2,1,2,1
2024-02-07,Jacket,249,876,0,5.66434330008753,119,4.992361733969653,31172,2,1,2,1
2024-02-07,Pants,172,568,10,5.420677067817639,244,3.7308438595097826,33831,2,1,2,0
2024-02-08,Dress,62,1293,40,5.832769806040722,428,4.84238216184176,88300,2,1,3,0
2024-02-08,T-Shirt,147,1440,0,4.520527894723418,734,3.6942723819242063,70160,2,1,3,0
2024-02-08,Sweater,266,670,0,5.957716335482254,325,4.112679819606048,38742,2,1,3,1
2024-02-08,Jacket,258,1424,40,1.4390522350585577,553,4.943182958888075,14903,2,1,3,1
2024-02-08,Pants,77,1122,0,1.5536532361531155,400,4.220879865989972,7396,2,1,3,0
2024-02-09,Dress,164,847,20,4.1302828711197375,965,4.315668361996099,97108,2,1,4,0
2024-02-09,T-Shirt,82,1435,20,8.813447236463922,191,4.775872593641363,70082,2,1,4,0
2024-02-09,Sweater,237,930,20,3.1482102817091575,792,4.520211157640451,91206,2,1,4,1
2024-02-09,Jacket,160,706,10,5.189230078929852,130,4.738725125847144,7719,2,1,4,0
2024-02-09,Pants,156,231,30,6.0056356153578125,688,4.261201600641254,38062,2,1,4,0
2024-02-10,Dress,62,1219,20,9.830675602246812,116,3.6737657851703864,77545,2,1,5,0
2024-02-10,T-Shirt,137,514,20,2.156038462838722,566,4.641541853753042,34257,2,1,5,0
2024-02-10,Sweater,239,721,40,1.9225875519161133,295,3.7606302129613502,50539,2,1,5,1
2024-02-10,Jacket,307,341,0,7.93885863278922,500,4.3732556902644095,25953,2,1,5,1
2024-02-10,Pants,169,359,10,9.911335354755824,786,4.953316782928537,82475,2,1,5,0
2024-02-11,Dress,174,609,40,1.1991119637609753,745,4.057750293858087,98106,2,1,6,0
2024-02-11,T-Shirt,107,887,40,9.498732714620468,198,4.177080536494513,86958,2,1,6,0
2024-02-11,Sweater,282,946,40,3.6853698789099334,899,3.623571568423764,83797,2,1,6,1
2024-02-11,Jacket,254,998,30,1.281720823727646,120,4.864286766421728,33602,2,1,6,1
2024-02-11,Pants,133,1430,10,9.04689283311221,626,4.618755518046447,53290,2,1,6,0
2024-02-12,Dress,113,1158,0,7.434316361820229,885,4.796537374759455,23639,2,1,0,0
2024-02-12,T-Shirt,76,1233,0,8.817608511600497,408,3.730487057241669,87970,2,1,0,0
2024-02-12,Sweater,314,348,20,8.171180450776248,792,4.867754052439866,58625,2,1,0,1
2024-02-12,Jacket,299,676,0,1.011086516497833,554,3.6877786883038257,84083,2,1,0,1
2024-02-12,Pants,133,670,0,2.4474292217037106,825,4.372957102871598,54268,2,1,0,0
2024-02-13,Dress,179,733,20,9.859162666626135,820,3.5174308098621507,31589,2,1,1,0
2024-02-13,T-Shirt,113,487,20,7.254836975138883,900,4.928972957058075,57648,2,1,1,0
2024-02-13,Sweater,295,363,20,1.9443716057635738,500,3.6541886067389986,57269,2,1,1,1
2024-02-13,Jacket,282,1259,30,7.322184734896935,813,4.663707103689434,66681,2,1,1,1
2024-02-13,Pants,146,151,0,1.7907984923035003,688,3.6178677457325312,55069,2,1,1,0
2024-02-14,Dress,152,343,10,7.2051847222353915,242,3.800225366367215,14078,2,1,2,0
2024-02-14,T-Shirt,98,466,20,9.065991724165345,108,4.904318369365535,31015,2,1,2,0
2024-02-14,Sweater,303,865,10,6.62774194192553,183,4.009175288814209,29826,2,1,2,1
2024-02-14,Jacket,282,608,30,5.977013073327626,489,4.7259466549437406,79137,2,1,2,1
2024-02-14,Pants,176,664,0,2.475995328905475,113,3.6224449730458845,85885,2,1,2,0
2024-02-15,Dress,61,236,30,2.435902121018695,400,4.423613032913364,36890,2,1,3,0
2024-02-15,T-Shirt,104,899,30,7.698511590354601,832,4.684547760713719,75326,2,1,3,0
2024-02-15,Sweater,231,1063,20,3.0560926719816885,451,4.313717953579051,96194,2,1,3,1
2024-02-15,Jacket,307,904,20,2.9850501243009093,306,3.8865243327668204,35027,2,1,3,1
2024-02-15,Pants,98,1011,40,7.544521627896772,123,4.138240001672113,83339,2,1,3,0
2024-02-16,Dress,157,681,30,1.3609827227123423,788,4.270993801713088,70128,2,1,4,0
2024-02-16,T-Shirt,166,1015,30,8.860809142734945,517,4.689434141908447,50350,2,1,4,0
2024-02-16,Sweater,321,1419,40,2.895959701050999,336,4.198719210530372,89878,2,1,4,1
2024-02-16,Jacket,273,249,10,3.1378899243148988,433,4.268922807808708,31916,2,1,4,1
2024-02-16,Pants,118,1154,0,3.2250796696285935,927,4.1075311986204825,75135,2,1,4,0
2024-02-17,Dress,133,279,0,4.519733829865846,127,3.8872001490516914,18760,2,1,5,0
2024-02-17,T-Shirt,94,1068,20,8.953387026946773,729,3.754636857631311,76260,2,1,5,0
2024-02-17,Sweater,234,1011,0,4.877987712956253,375,4.3818265566655805,28499,2,1,5,1
2024-02-17,Jacket,206,725,30,4.414227309301814,206,4.604603022598461,76652,2,1,5,1
2024-02-17,Pants,98,305,30,5.859152555519913,981,4.9800394705357425,71504,2,1,5,0
2024-02-18,Dress,86,1193,10,1.3540918660165868,218,3.83705176545902,81260,2,1,6,0
2024-02-18,T-Shirt,108,986,0,5.565113278195532,305,4.532311798799893,46235,2,1,6,0
2024-02-18,Sweater,289,366,10,9.757879732633118,138,4.182109783450788,11638,2,1,6,1
2024-02-18,Jacket,270,300,40,2.2918812583545356,845,4.599348377512013,15225,2,1,6,1
2024-02-18,Pants,134,278,40,4.993751973741141,616,4.945020249230598,53320,2,1,6,0
2024-02-19,Dress,104,1292,10,4.368670904258134,513,4.245762146012641,86040,2,1,0,0
2024-02-19,T-Shirt,75,452,0,1.2734835372715319,939,4.6932655575446045,35659,2,1,0,0
2024-02-19,Sweater,182,1320,40,7.0027436529181655,460,3.659889545461986,41059,2,1,0,0
2024-02-19,Jacket,284,1334,0,9.940032436227657,880,4.67357822608741,90150,2,1,0,1
2024-02-19,Pants,117,1275,30,7.0083404700722625,553,4.852063474382667,30426,2,1,0,0
2024-02-20,Dress,158,971,0,3.9554310509657293,164,4.049692302307097,14108,2,1,1,0
2024-02-20,T-Shirt,196,977,40,5.038242603602776,404,4.31853033274321,27443,2,1,1,0
2024-02-20,Sweater,340,1440,20,2.5159994662844767,941,4.639016491884298,82576,2,1,1,1
2024-02-20,Jacket,236,477,10,5.312636898667579,728,4.72064943247938,9760,2,1,1,1
2024-02-20,Pants,61,1306,10,5.739614175420636,399,4.2150432125617385,78770,2,1,1,0
2024-02-21,Dress,136,1499,10,7.43941816389347,526,3.5273488740145424,38174,2,1,2,0
2024-02-21,T-Shirt,156,1164,40,9.082274940549881,892,4.482039622147022,41914,2,1,2,0
2024-02-21,Sweater,231,938,40,4.16460418515671,901,3.7494974116147133,55115,2,1,2,1
2024-02-21,Jacket,317,643,20,9.366452896797902,255,4.308741915012882,59691,2,1,2,1
2024-02-21,Pants,195,151,0,9.79052714796321,189,3.6828291400054214,49139,2,1,2,0
2024-02-22,Dress,123,1212,40,2.661266165833297,411,4.690110887221756,79172,2,1,3,0
2024-02-22,T-Shirt,91,1101,30,4.820746826767257,985,4.708988824662737,26675,2,1,3,0
2024-02-22,Sweater,313,708,20,1.0232561336048414,217,4.272762755500597,14435,2,1,3,1
2024-02-22,Jacket,311,670,10,2.5729609854463944,732,4.759791954300081,76831,2,1,3,1
2024-02-22,Pants,98,1327,20,8.024729637194756,149,4.597937101378452,41451,2,1,3,0
2024-02-23,Dress,109,1340,10,8.285769781915976,775,3.7245559519354368,69174,2,1,4,0
2024-02-23,T-Shirt,98,632,30,8.765173697889058,730,4.3030371527639915,46621,2,1,4,0
2024-02-23,Sweater,200,568,30,2.8556754806658375,622,3.8479206441739633,32213,2,1,4,1
2024-02-23,Jacket,282,1427,0,9.890069681933985,902,4.395570375343538,99018,2,1,4,1
2024-02-23,Pants,91,786,0,7.231925361919327,379,3.692591434181188,65946,2,1,4,0
2024-02-24,Dress,117,1391,10,9.149723130967065,720,3.61912905348348,78379,2,1,5,0
2024-02-24,T-Shirt,180,222,0,3.039907620042892,524,4.42573367509347,77240,2,1,5,0
2024-02-24,Sweater,210,1105,40,1.6293844513849072,259,4.310017871906766,61549,2,1,5,1
2024-02-24,Jacket,265,1163,30,3.9190037780383804,358,3.7854872942286018,10249,2,1,5,1
2024-02-24,Pants,51,763,0,9.959324416338314,570,4.197808418425577,5661,2,1,5,0
2024-02-25,Dress,93,602,40,6.714640410319298,402,3.801400532988585,5207,2,1,6,0
2024-02-25,T-Shirt,155,595,0,8.396257995109782,111,4.021357286358473,25103,2,1,6,0
2024-02-25,Sweater,167,386,30,9.76748165765214,729,4.988725253237563,67711,2,1,6,0
2024-02-25,Jacket,321,435,40,1.8363622994145095,505,3.633686648174025,96878,2,1,6,1
2024-02-25,Pants,81,1334,40,8.434608672272756,649,3.7389560309284704,21163,2,1,6,0
2024-02-26,Dress,163,898,10,4.428185729598885,869,4.905436734546594,89416,2,1,0,0
2024-02-26,T-Shirt,124,984,30,3.517331846243313,765,4.400891500040926,95373,2,1,0,0
2024-02-26,Sweater,341,292,30,8.662824619705862,589,4.251729498773015,17329,2,1,0,1
2024-02-26,Jacket,275,1331,10,8.812510210967053,233,3.7119170739132588,36750,2,1,0,1
2024-02-26,Pants,63,222,40,1.2060444247850821,958,4.542426633353692,77909,2,1,0,0
2024-02-27,Dress,69,415,0,6.176470154469625,352,4.793021723408934,78822,2,1,1,0
2024-02-27,T-Shirt,63,982,40,3.8577830308906336,582,4.09799454165847,55200,2,1,1,0
2024-02-27,Sweater,406,631,40,1.232307162545383,636,3.84882703754807,45108,2,1,1,1
2024-02-27,Jacket,192,277,30,3.806345197767336,945,4.814157788897064,57188,2,1,1,0
2024-02-27,Pants,109,596,40,1.159190286519315,229,4.47530163859723,77146,2,1,1,0
